count,Name,SpeciesID,BEST,DEFAULT,MAX,B2D,D2M,B2M,RESULT
462,海兔獸 東海型態,gastrodon_east_sea,24.5-1-15-14,24-7-12-10,22.5-15-15-15,-14%,-13%,-14%,22.5-15-15-15
463,海兔獸 西海型態,gastrodon_west_sea,24.5-1-15-14,24-7-12-10,22.5-15-15-15,-14%,-13%,-14%,22.5-15-15-15
464,海刺龍,seadra,27-1-15-14,27-6-10-10,25-15-15-15,2%,0%,2%,27-1-15-14
465,海星星,staryu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
466,海豹球,spheal,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
467,海魔獅,sealeo,38-0-15-14,35.5-7-12-13,31-15-15-15,2%,1%,2%,38-0-15-14
468,混混鱷,krokorok,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
469,溜溜糖球,surskit,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
470,溶食獸,gulpin,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
471,滑滑小子,scraggy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
472,滾滾蝙蝠,woobat,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
473,火伊布,flareon,18.5-0-15-13,18-7-11-15,17-15-15-15,0%,2%,0%,18-7-11-15
474,火岩鼠,quilava,40-0-13-15,40-5-9-10,33.5-15-15-15,-2%,3%,-2%,40-5-9-10
475,火恐龍,charmeleon,40-0-13-15,40-5-9-10,33.5-15-15-15,-4%,-2%,-4%,33.5-15-15-15
476,火恐龍 暗影化,charmeleon_shadow,40-0-13-15,40-5-9-10,33.5-15-15-15,2%,0%,2%,40-0-13-15
477,火焰雞,blaziken,19.5-1-15-15,19-9-13-14,18-15-15-15,0%,0%,0%,18-15-15-15
478,火焰鳥,moltres,16-1-15-15,16-8-13-5,15-15-15-15,-24%,24%,-24%,16-8-13-5
479,火焰鳥 暗影化,moltres_shadow,16-1-15-15,16-8-13-5,15-15-15-15,0%,0%,0%,15-15-15-15
480,火爆猴,primeape,24.5-1-15-15,23.5-12-12-15,22.5-15-15-15,-4%,3%,-4%,23.5-12-12-15
481,火爆獸,typhlosion,19.5-0-15-13,19.5-6-8-10,18-15-15-15,-16%,16%,-16%,19.5-6-8-10
482,火球鼠,cyndaquil,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
483,火神蛾,volcarona,15.5-0-9-15,15.5-5-6-10,14-15-15-15,1%,0%,1%,15.5-0-9-15
484,火稚雞,torchic,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
485,火紅不倒翁,darumaka,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
486,火紅不倒翁 伽勒爾型態,darumaka_galarian,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
487,灰塵山,garbodor,24.5-0-13-13,23.5-8-13-12,22-15-15-15,-1%,2%,-1%,23.5-8-13-12
488,炎帝,entei,16-1-15-15,15.5-10-14-12,15-15-15-15,-25%,-24%,-25%,15-15-15-15
489,炎帝 暗影化,entei_shadow,16-1-15-15,15.5-10-14-12,15-15-15-15,0%,1%,0%,15.5-10-14-12
490,炎武王,emboar,19-0-14-9,19-5-8-9,17.5-15-15-15,-4%,4%,-4%,19-5-8-9
491,炒炒豬,pignite,29.5-0-15-15,29-5-14-10,27-15-15-15,-4%,-3%,-4%,27-15-15-15
492,烈咬陸鯊,garchomp,14-0-15-15,14-6-12-6,13-15-15-15,-49%,33%,-49%,14-6-12-6
493,烈焰猴,infernape,21-0-13-15,20-9-14-15,19.5-15-15-15,-3%,-1%,-3%,19.5-15-15-15
494,烈焰馬,rapidash,23-0-13-15,21.5-13-15-15,21-15-15-15,-22%,22%,-22%,21.5-13-15-15
495,烈空坐,rayquaza,14.5-1-14-12,14.5-6-13-5,13.5-15-15-15,0%,1%,0%,14.5-6-13-5
496,烈雀,spearow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
497,烏波,wooper,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
498,烏鴉頭頭,honchkrow,20.5-0-15-15,20-7-13-15,19-15-15-15,-52%,-51%,-52%,19-15-15-15
499,無殼海兔 東海型態,shellos_east_sea,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
500,無殼海兔 西海型態,shellos_west_sea,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
501,無畏小子,tyrogue,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
502,煤炭龜,torkoal,27.5-0-15-15,27-6-15-8,25-15-15-15,-34%,-37%,-34%,25-15-15-15
503,熊寶寶,teddiursa,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
504,熔岩蝸牛,magcargo,38.5-0-15-14,36-5-14-14,31.5-15-15-15,-50%,-48%,-50%,31.5-15-15-15
505,熔岩蟲,slugma,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
506,熔蟻獸,heatmor,23.5-0-15-15,23.5-5-11-9,21.5-15-15-15,-36%,-34%,-36%,21.5-15-15-15
507,熱帶龍,tropius,30-0-15-15,29-6-12-13,27-15-15-15,2%,1%,2%,30-0-15-15
508,燃燒蟲,larvesta,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
509,燈火幽靈,lampent,37-0-15-14,34-9-15-12,31-15-15-15,-10%,0%,-10%,31-15-15-15
510,燈籠魚,chinchou,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
511,燭光靈,litwick,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
512,爆炸頭水牛,bouffalant,20.5-0-13-11,20-5-8-15,18.5-15-15-15,14%,1%,14%,20.5-0-13-11
513,爆音怪,exploud,24.5-0-15-10,23.5-8-11-14,22-15-15-15,0%,1%,0%,23.5-8-11-14
514,爆香猴,pansear,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
515,爆香猿,simisear,24-0-14-15,24-6-8-12,22-15-15-15,-21%,21%,-21%,24-6-8-12
516,牙牙,axew,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
517,狃拉,sneasel,27.5-1-15-14,27-5-13-13,25.5-15-15-15,-22%,-20%,-22%,25.5-15-15-15
518,狃拉 暗影化,sneasel_shadow,27.5-1-15-14,27-5-13-13,25.5-15-15-15,0%,0%,0%,25.5-15-15-15
519,狡猾天狗,shiftry,24.5-0-14-11,24-5-9-15,22.5-15-15-15,-31%,-29%,-31%,22.5-15-15-15
520,狡猾天狗 暗影化,shiftry_shadow,24.5-0-14-11,24-5-9-15,22.5-15-15-15,1%,0%,1%,24.5-0-14-11
521,狩獵鳳蝶,beautifly,34-0-15-15,32-9-14-12,29.5-15-15-15,-35%,-35%,-35%,29.5-15-15-15
522,猛火猴,monferno,40-7-15-14,37-14-15-14,36.5-15-15-15,-25%,-25%,-25%,36.5-15-15-15
523,猴怪,mankey,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
524,獨角犀牛,rhyhorn,40-1-15-14,37.5-7-13-14,33.5-15-15-15,3%,0%,3%,33.5-15-15-15
525,獨角蟲,weedle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
526,獨角蟲 暗影化,weedle_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
527,獵斑魚,huntail,24-1-15-15,24-5-6-15,22-15-15-15,24%,4%,24%,24-1-15-15
528,珍珠貝,clamperl,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
529,班基拉斯,tyranitar,14.5-0-15-15,14.5-8-7-9,13.5-15-15-15,0%,0%,0%,13.5-15-15-15
530,班基拉斯 暗影化,tyranitar_shadow,14.5-0-15-15,14.5-8-7-9,13.5-15-15-15,0%,0%,0%,13.5-15-15-15
531,瑪力露,marill,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
532,瑪力露麗,azumarill,40-8-15-15,38-13-13-12,36-15-15-15,-1%,0%,-1%,36-15-15-15
533,瑪沙那,meditite,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
534,瑪狃拉,weavile,18.5-0-15-15,18-10-13-13,17-15-15-15,2%,56%,2%,18.5-0-15-15
535,瑪狃拉 暗影化,weavile_shadow,18.5-0-15-15,18-10-13-13,17-15-15-15,-45%,45%,-45%,18-10-13-13
536,瑪瑙水母,tentacool,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
537,瑪納霏,manaphy,17.5-0-10-13,17-6-13-9,16-15-15-15,-5%,-3%,-5%,16-15-15-15
538,瓦斯彈,koffing,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
539,瓦斯彈 暗影化,koffing_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
540,甜甜螢,illumise,35.5-0-15-15,35.5-5-8-10,29.5-15-15-15,2%,-6%,2%,35.5-0-15-15
541,由克希,uxie,22.5-2-15-15,23-5-7-5,20.5-15-15-15,3%,0%,3%,22.5-2-15-15
542,甲殼繭,silcoon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
543,甲殼龍,shelgon,28-1-15-14,27-9-15-10,25.5-15-15-15,3%,0%,3%,28-1-15-14
544,甲殼龍 暗影化,shelgon_shadow,28-1-15-14,27-9-15-10,25.5-15-15-15,4%,0%,4%,28-1-15-14
545,畢力吉翁,virizion,18.5-3-14-14,18.5-6-5-15,17-15-15-15,2%,4%,2%,18.5-3-14-14
546,白海獅,dewgong,29.5-0-12-15,28.5-5-14-10,26-15-15-15,-1%,1%,-1%,28.5-5-14-10
547,百合根娃娃,petilil,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
548,百變怪,ditto,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
549,百足蜈蚣,venipede,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
550,皮丘,pichu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
551,皮卡丘,pikachu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
552,皮卡丘 面罩摔角手,pikachu_libre,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
553,皮卡丘 飛翔氣球,pikachu_flying,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
554,皮可西,clefable,23.5-0-13-15,23-5-14-8,21.5-15-15-15,3%,0%,3%,21.5-15-15-15
555,皮寶寶,cleffa,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
556,皮皮,clefairy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
557,盆才怪,bonsly,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
558,盔甲鳥,skarmory,27.5-0-15-14,26.5-5-15-12,24.5-15-15-15,12%,-9%,12%,27.5-0-15-14
559,直衝熊,linoone,40-0-15-14,38.5-5-12-11,33-15-15-15,-27%,-23%,-27%,33-15-15-15
560,直衝熊 伽勒爾型態,linoone_galarian,40-0-15-14,38.5-5-12-11,33-15-15-15,-40%,-37%,-40%,33-15-15-15
561,盾甲繭,cascoon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
562,盾甲龍,shieldon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
563,石丸子,roggenrola,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
564,石居蟹,dwebble,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
565,破破袋,trubbish,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
566,禿鷹丫頭,vullaby,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
567,禿鷹娜,mandibuzz,27.5-0-13-15,26.5-6-11-12,24.5-15-15-15,-6%,-1%,-6%,24.5-15-15-15
568,種子鐵球,ferroseed,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
569,穿山王,sandslash,24-0-14-15,23-7-13-15,22-15-15-15,-48%,-49%,-48%,22-15-15-15
570,穿山王 暗影化,sandslash_shadow,24-0-14-15,23-7-13-15,22-15-15-15,-34%,-33%,-34%,22-15-15-15
571,穿山王 阿羅拉型態,sandslash_alolan,23.5-0-14-14,23-7-11-10,21.5-15-15-15,-1%,1%,-1%,23-7-11-10
572,穿山鼠,sandshrew,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
573,穿山鼠 暗影化,sandshrew_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
574,穿山鼠 阿羅拉型態,sandshrew_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
575,章魚桶,octillery,24.5-0-15-13,24-8-10-12,22.5-15-15-15,-2%,1%,-2%,24-8-10-12
576,索羅亞,zorua,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
577,索羅亞克,zoroark,21.5-1-15-15,21-8-15-12,20-15-15-15,-15%,-14%,-15%,20-15-15-15
578,紳士蛾,mothim,32.5-0-15-15,32-6-15-6,28.5-15-15-15,4%,0%,4%,32.5-0-15-15
579,結草兒 垃圾蓑衣,burmy_trash,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
580,結草兒 砂土蓑衣,burmy_sandy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
581,結草兒 草木蓑衣,burmy_plant,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
582,結草貴婦 垃圾蓑衣,wormadam_trash,40-7-14-15,37.5-13-13-13,35.5-15-15-15,-5%,4%,-5%,37.5-13-13-13
583,結草貴婦 砂土蓑衣,wormadam_sandy,35.5-0-15-15,33.5-6-15-11,29.5-15-15-15,-2%,-1%,-2%,29.5-15-15-15
584,結草貴婦 草木蓑衣,wormadam_plant,35.5-0-15-15,33.5-6-15-11,29.5-15-15-15,3%,0%,3%,35.5-0-15-15
585,綠毛蟲,caterpie,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
586,羅絲雷朵,roserade,19-0-11-14,18.5-10-6-14,17.5-15-15-15,13%,0%,13%,17.5-15-15-15
587,美洛耶塔 歌聲型態,meloetta_aria,14-0-15-15,14-7-11-6,13-15-15-15,-4%,4%,-4%,14-7-11-6
588,美洛耶塔 舞步型態,meloetta_pirouette,14.5-0-9-11,14-6-9-15,13-15-15-15,-8%,8%,-8%,14-6-9-15
589,美納斯,milotic,19-0-15-11,18.5-5-12-11,17-15-15-15,-1%,-1%,-1%,17-15-15-15
590,美錄坦,meltan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
591,美錄梅塔,melmetal,15.5-1-15-14,15-10-14-11,14.5-15-15-15,-67%,-67%,-67%,14.5-15-15-15
592,美麗花,bellossom,25-1-14-14,24.5-5-11-13,23-15-15-15,-8%,-4%,-8%,23-15-15-15
593,美麗花 暗影化,bellossom_shadow,25-1-14-14,24.5-5-11-13,23-15-15-15,-64%,-63%,-64%,23-15-15-15
594,耿鬼,gengar,19.5-0-13-13,19-8-15-9,18-15-15-15,0%,0%,0%,18-15-15-15
595,聒噪鳥,chatot,33.5-0-15-14,32.5-6-14-9,29-15-15-15,2%,0%,2%,33.5-0-15-14
596,肋骨海龜,carracosta,21.5-1-14-15,21-6-13-13,20-15-15-15,-9%,-7%,-9%,20-15-15-15
597,肯泰羅,tauros,21.5-0-15-15,20.5-11-13-15,20-15-15-15,-7%,-6%,-7%,20-15-15-15
598,胖丁,jigglypuff,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
599,胖可丁,wigglytuff,30-0-15-12,29-7-15-5,27-15-15-15,0%,0%,0%,27-15-15-15
600,胖嘟嘟,jellicent,24.5-1-14-14,24-7-14-6,22-15-15-15,-59%,-59%,-59%,22-15-15-15
601,胡地,alakazam,18-1-15-15,18-8-6-15,17-15-15-15,15%,0%,15%,17-15-15-15
602,胡地 暗影化,alakazam_shadow,18-1-15-15,18-8-6-15,17-15-15-15,0%,2%,0%,18-8-6-15
603,脫殼忍者,shedinja,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
604,腕力,machop,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
605,腕力 暗影化,machop_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
606,自爆磁怪,magnezone,17.5-0-13-15,17-10-15-8,16-15-15-15,-6%,16%,-6%,17-10-15-8
607,自爆磁怪 暗影化,magnezone_shadow,17.5-0-13-15,17-10-15-8,16-15-15-15,-42%,42%,-42%,17-10-15-8
608,臭泥,grimer,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
609,臭泥 暗影化,grimer_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
610,臭泥 阿羅拉型態,grimer_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
611,臭臭泥,muk,20.5-0-15-15,20-8-15-7,19-15-15-15,3%,0%,3%,20.5-0-15-15
612,臭臭泥 暗影化,muk_shadow,20.5-0-15-15,20-8-15-7,19-15-15-15,38%,-36%,38%,20.5-0-15-15
613,臭臭泥 阿羅拉型態,muk_alolan,20.5-0-15-15,20-8-15-7,19-15-15-15,-24%,-22%,-24%,19-15-15-15
614,臭臭花,gloom,39.5-0-12-14,37.5-5-13-10,32-15-15-15,2%,2%,2%,39.5-0-12-14
615,臭臭花 暗影化,gloom_shadow,39.5-0-12-14,37.5-5-13-10,32-15-15-15,0%,1%,0%,37.5-5-13-10
616,臭鼬噗,stunky,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
617,臭鼬噗 暗影化,stunky_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
618,舞天鵝,swanna,27-1-15-15,26.5-7-12-13,25-15-15-15,6%,2%,6%,27-1-15-15
619,艾姆利多,mesprit,18.5-1-13-12,17.5-11-14-15,17-15-15-15,2%,0%,2%,18.5-1-13-12
620,艾路雷朵,gallade,18-0-15-15,18-5-9-12,16.5-15-15-15,0%,0%,0%,16.5-15-15-15
621,艾路雷朵 暗影化,gallade_shadow,18-0-15-15,18-5-9-12,16.5-15-15-15,0%,0%,0%,16.5-15-15-15
622,芭瓢蟲,ledyba,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
623,花岩怪,spiritomb,27.5-0-15-15,26.5-8-13-13,25-15-15-15,-20%,-19%,-20%,25-15-15-15
624,花椰猴,pansage,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
625,花椰猿,simisage,24-0-14-15,24-6-8-12,22-15-15-15,-44%,44%,-44%,24-6-8-12
626,茸茸羊,flaaffy,40-12-15-15,40-12-14-15,39-15-15-15,0%,-58%,0%,39-15-15-15
627,茸茸羊 暗影化,flaaffy_shadow,40-12-15-15,40-12-14-15,39-15-15-15,0%,-51%,0%,39-15-15-15
628,草苗龜,turtwig,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
629,草苗龜 暗影化,turtwig_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
630,菊石獸,omanyte,40-10-15-15,40-13-13-12,38-15-15-15,41%,40%,41%,38-15-15-15
631,菊石獸 暗影化,omanyte_shadow,40-10-15-15,40-13-13-12,38-15-15-15,-26%,26%,-26%,40-13-13-12
632,菊草葉,chikorita,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
633,萊希拉姆,reshiram,13.5-5-15-14,13.5-7-14-9,13-15-15-15,2%,0%,2%,13.5-5-15-14
634,萌芽鹿,sawsbuck,23.5-0-14-14,23-7-13-9,21.5-15-15-15,4%,0%,4%,23.5-0-14-14
635,萌芽鹿 冬天型態,sawsbuck_winter,23.5-0-14-14,23-7-13-9,21.5-15-15-15,4%,0%,4%,23.5-0-14-14
636,萌芽鹿 夏天型態,sawsbuck_summer,23.5-0-14-14,23-7-13-9,21.5-15-15-15,4%,0%,4%,23.5-0-14-14
637,萌芽鹿 春天型態,sawsbuck_spring,23.5-0-14-14,23-7-13-9,21.5-15-15-15,4%,0%,4%,23.5-0-14-14
638,萌芽鹿 秋天型態,sawsbuck_autumn,23.5-0-14-14,23-7-13-9,21.5-15-15-15,4%,0%,4%,23.5-0-14-14
639,落雷獸,electrike,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
640,葉伊布,leafeon,19-1-15-14,19-5-9-12,17.5-15-15-15,-2%,1%,-2%,19-5-9-12
641,蓋歐卡,kyogre,13.5-1-14-13,13-11-15-12,12.5-15-15-15,0%,0%,0%,12.5-15-15-15
642,蓋蓋蟲,karrablast,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
643,蓋諾賽克特,genesect,16-10-15-14,16-10-15-11,15.5-15-15-15,0%,-39%,0%,15.5-15-15-15
644,蓋諾賽克特 冰凍卡帶,genesect_chill,16-10-15-14,16-10-15-11,15.5-15-15-15,0%,-39%,0%,15.5-15-15-15
645,蓋諾賽克特 水流卡帶,genesect_douse,16-10-15-14,16-10-15-11,15.5-15-15-15,0%,-39%,0%,15.5-15-15-15
646,蓋諾賽克特 火焰卡帶,genesect_burn,16-10-15-14,16-10-15-11,15.5-15-15-15,0%,-39%,0%,15.5-15-15-15
647,蓋諾賽克特 閃電卡帶,genesect_shock,16-10-15-14,16-10-15-11,15.5-15-15-15,0%,-39%,0%,15.5-15-15-15
648,蓮帽小童,lombre,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
649,蓮葉童子,lotad,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
650,蔓藤怪,tangela,25.5-0-13-15,24.5-8-13-13,23-15-15-15,-49%,-48%,-49%,23-15-15-15
651,蔥遊兵,sirfetchd,18.5-2-15-15,18.5-6-13-10,17.5-15-15-15,0%,0%,0%,17.5-15-15-15
652,藍蟾蜍,palpitoad,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
653,藍鱷,croconaw,37.5-0-13-15,36.5-5-10-12,30.5-15-15-15,3%,-34%,3%,37.5-0-13-15
654,藤藤蛇,snivy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
655,蘑蘑菇,shroomish,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
656,蚊香君,poliwhirl,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
657,蚊香君 暗影化,poliwhirl_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
658,蚊香泳士,poliwrath,22-0-14-15,21.5-8-11-10,20-15-15-15,-1%,2%,-1%,21.5-8-11-10
659,蚊香泳士 暗影化,poliwrath_shadow,22-0-14-15,21.5-8-11-10,20-15-15-15,-65%,-64%,-65%,20-15-15-15
660,蚊香蛙皇,politoed,23.5-0-15-11,22.5-9-12-11,21-15-15-15,-15%,14%,-15%,22.5-9-12-11
661,蚊香蛙皇 暗影化,politoed_shadow,23.5-0-15-11,22.5-9-12-11,21-15-15-15,-62%,62%,-62%,22.5-9-12-11
662,蚊香蝌蚪,poliwag,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
663,蚊香蝌蚪 暗影化,poliwag_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
664,蛇紋熊,zigzagoon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
665,蛇紋熊 伽勒爾型態,zigzagoon_galarian,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
666,蛋蛋,exeggcute,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
667,蛋蛋 暗影化,exeggcute_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
668,蜂女王,vespiquen,29-0-14-13,28.5-6-11-8,26-15-15-15,-73%,-72%,-73%,26-15-15-15
669,蜈蚣王,scolipede,23-1-15-14,23-5-6-15,21-15-15-15,-31%,-29%,-31%,21-15-15-15
670,蜥蜴王,sceptile,20.5-0-12-15,20.5-6-10-7,19-15-15-15,-18%,-16%,-18%,19-15-15-15
671,蜻蜻蜓,yanma,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
672,螢光魚,finneon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
673,螺釘地鼠,drilbur,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
674,蟲寶包,sewaddle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
675,蟾蜍王,seismitoad,22-1-15-15,22-6-9-10,20-15-15-15,3%,3%,3%,22-1-15-15
676,袋獸,kangaskhan,22-0-14-15,21.5-7-11-12,20-15-15-15,-19%,-18%,-19%,20-15-15-15
677,裙兒小姐,lilligant,22-0-15-15,21-11-15-13,20.5-15-15-15,0%,0%,0%,20.5-15-15-15
678,角金魚,goldeen,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
679,觸手百合,lileep,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
680,詛咒娃娃,banette,24.5-0-14-15,24-5-14-11,22.5-15-15-15,0%,0%,0%,22.5-15-15-15
681,詛咒娃娃 暗影化,banette_shadow,24.5-0-14-15,24-5-14-11,22.5-15-15-15,0%,0%,0%,22.5-15-15-15
682,請假王,slaking,12.5-0-14-15,12-11-13-15,11.5-15-15-15,36%,90%,36%,12.5-0-14-15
683,謝米 天空型態,shaymin_sky,15.5-0-14-15,15-9-13-13,14.5-15-15-15,0%,0%,0%,14.5-15-15-15
684,謝米 陸上型態,shaymin_land,17.5-0-10-13,17-6-13-9,16-15-15-15,-24%,-24%,-24%,16-15-15-15
685,護城龍,bastiodon,40-12-15-15,38.5-15-14-14,38-15-15-15,0%,0%,0%,38-15-15-15
686,變隱龍,kecleon,28-0-15-15,27.5-7-10-11,25.5-15-15-15,2%,1%,2%,28-0-15-15
687,豆豆鴿,pidove,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
688,象徵鳥,sigilyph,22-1-15-15,22-6-6-14,20.5-15-15-15,0%,0%,0%,20.5-15-15-15
689,象牙豬,mamoswine,17-0-15-7,16-11-14-15,15.5-15-15-15,-12%,12%,-12%,16-11-14-15
690,豪力,machoke,28-0-15-15,27.5-7-15-6,25.5-15-15-15,-4%,-33%,-4%,25.5-15-15-15
691,豪力 暗影化,machoke_shadow,28-0-15-15,27.5-7-15-6,25.5-15-15-15,-11%,-12%,-11%,25.5-15-15-15
692,貓老大,persian,39-0-14-13,38.5-5-8-11,32-15-15-15,1%,2%,1%,39-0-14-13
